,Name,Party,Votes,Comparative number,Region,Selected
264,"Björkbacka, Kalervo",PS,2167,8570,Lapin vp,Varalla
265,"Nyman, Anne",Vas,1991,12167,Pirkanmaan vp,Varalla
266,"Väyrynen, Ville",Kok,1982,9843,Keski-Suomen vp,Varalla
267,"Levonen, Jyrki",SDP,1956,7864,Satakunnan vp,Varalla
268,"Tuomela, Tiina",KD,1942,7464,Uudenmaan vp,Varalla
269,"Falk, Sonja",KD,1891,5872,Hämeen vp,Varalla
270,"Raatikainen, Mika",PS,1847,11776,Helsingin vp,Varalla
271,"Heikkinen, Tiina",SDP,1814,8838,Oulun vp,Varalla
272,"Tiitinen, Pekka",SDP,1783,6734,Lapin vp,Varalla
273,"Lientola, Elisa",Vas,1692,7586,Hämeen vp,Varalla
274,"Lindqvist, Emma",Vas,1222,11783,Varsinais-Suomen vp,Varalla
275,"Mikkola, Kikkis",KD,1213,8692,Savo-Karjalan vp,Varalla
276,"Ehn, Johan",Muut,589,5819,Ahvenanmaan vp,Varalla
277,"Karppinen, Riikka",Vihr,7814,9705,Lapin vp,
278,"Hautala, Lasse",Kesk,4819,8344,Vaasan vp,
279,"Pennanen, Petrus",Pir,4706,11275,Helsingin vp,
280,"Tiilikainen, Kimmo",Kesk,4653,10996,Helsingin vp,
281,"Hämäläinen, Kristiina",Kok,4648,7897,Hämeen vp,
282,"Nikula, Lauri",Kesk,4230,9776,Oulun vp,
283,"Niinikoski, Eija-Riitta",Kesk,4187,8690,Oulun vp,
284,"Jarva, Marisanna",Kesk,4165,7821,Oulun vp,
285,"Hildén, Sirkku",SDP,4096,8224,Hämeen vp,
286,"Alametsä, Alviina",Vihr,4054,11303,Helsingin vp,
287,"Hilden, Matias",Kesk,4036,8141,Kaakkois-Suomen vp,
288,"Kuotesaho, Markus",Muut,3983,3983,Oulun vp,
289,"Harkimo, Joel",Muut,3955,13490,Helsingin vp,
290,"Parviainen, Ulla",Kesk,3955,7110,Oulun vp,
291,"Ojares, Juho",Kok,3908,9208,Pirkanmaan vp,
292,"Lehtimäki, Esko",Kesk,3869,7152,Vaasan vp,
293,"Vanhanen, Reetta",Vihr,3770,10047,Helsingin vp,
294,"Mikkonen, Anna-Kristiina",SDP,3630,8517,Kaakkois-Suomen vp,
295,"Backman, Jouni",SDP,3594,7452,Kaakkois-Suomen vp,
296,"Kasvi, Jyrki",Vihr,3576,10499,Uudenmaan vp,
297,"Yanar, Ozan",Vihr,3569,9043,Helsingin vp,
298,"Arajärvi, Pentti",SDP,3568,10404,Helsingin vp,
299,"Auramo, Helene",Muut,3560,6745,Helsingin vp,
300,"Maaskola, Mika",SDP,3536,9820,Varsinais-Suomen vp,
301,"Kivelä, Antti",Kesk,3532,8404,Savo-Karjalan vp,
302,"Reijonen, Eero",Kesk,3530,7204,Savo-Karjalan vp,
303,"Peltonen, Eemeli",SDP,3492,10774,Uudenmaan vp,
304,"Penttilä, Risto E.J.",Kok,3475,10458,Helsingin vp,
305,"Träskbäck, Jocka",Kok,3475,7892,Pirkanmaan vp,
306,"Koto, Sonja",Vihr,3459,9284,Pirkanmaan vp,
307,"Vuorio, Juha",PS,3420,8784,Oulun vp,
308,"Jaskari, Harri",Kok,3417,6906,Pirkanmaan vp,
309,"Ilvessalo, Saara",Vihr,3358,8411,Varsinais-Suomen vp,
310,"Andersson, Otto",RKP,3349,9906,Uudenmaan vp,
311,"Parviainen, Olli-Poika",Vihr,3343,7427,Pirkanmaan vp,
312,"Luukkanen, Arto",PS,3284,10847,Uudenmaan vp,
313,"Kostiainen, Leena",Kok,3265,6138,Pirkanmaan vp,
314,"Wickström, Henrik",RKP,3261,8255,Uudenmaan vp,
315,"Kantola, Ilkka",SDP,3257,8183,Varsinais-Suomen vp,
316,"Peltola, Anniina",Kesk,3251,6784,Kaakkois-Suomen vp,
317,"Virtanen, Sami",SDP,3243,6624,Kaakkois-Suomen vp,
318,"Tuomi, Maarit",PS,3237,8709,Hämeen vp,
319,"Alho, Niina",SDP,3232,7014,Varsinais-Suomen vp,
320,"Niinistö, Jussi",Sin,3193,9515,Uudenmaan vp,
321,"Kähönen, Karoliina",Muut,3182,7172,Pirkanmaan vp,
322,"Åhman, Kati",SDP,3155,7646,Savo-Karjalan vp,
323,"Kaimio, Tuire",Vihr,3141,9187,Uudenmaan vp,
324,"Walkamo, Mika",Kok,3104,6581,Hämeen vp,
